0:0:0:0:0:0:0:1 - - [02/Jul/2012:20:30:21 -0500] "GET /videoteca/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2012:20:30:21 -0500] "GET /videoteca/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2012:20:30:21 -0500] "GET /videoteca/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2012:20:33:20 -0500] "GET /videoteca/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2012:20:33:26 -0500] "GET /videoteca HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jul/2012:20:34:49 -0500] "GET /videoteca/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2012:20:35:02 -0500] "GET /videoteca/jsp/registrarPrestamo.jsp HTTP/1.1" 200 1581
0:0:0:0:0:0:0:1 - - [02/Jul/2012:20:36:17 -0500] "GET /videoteca/ HTTP/1.1" 200 282
0:0:0:0:0:0:0:1 - - [02/Jul/2012:20:37:07 -0500] "GET /videoteca/ HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [02/Jul/2012:20:38:32 -0500] "GET /videoteca/ HTTP/1.1" 200 300
0:0:0:0:0:0:0:1 - - [02/Jul/2012:20:39:34 -0500] "GET /videoteca/jsp/registrarPrestamo.jsp HTTP/1.1" 200 1581
0:0:0:0:0:0:0:1 - - [02/Jul/2012:20:39:41 -0500] "GET /videoteca/ HTTP/1.1" 200 302
0:0:0:0:0:0:0:1 - - [02/Jul/2012:20:40:02 -0500] "GET /videoteca/ HTTP/1.1" 304 -
