what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1342489395646
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342489412119
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342489416707
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.1.v201008232129,"org.eclipse.jst.ws.jaxws.ui",1342489426494
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1342489426545
started,bundle,org.eclipse.pde.api.tools,1.0.202.v20100820_r361,"org.eclipse.pde.api.tools",1342489426724
started,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1342489426759
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1342489451558
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1342489454654
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1342489456917
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342489461174
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342489463084
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342489464844
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342489468941
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342489468949
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342489479316
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342489479927
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342489495998
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1342489497279
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342489507350
