what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343663269681
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343663274564
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1343663277886
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343663280975
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343663289836
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1343663302612
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1343663305093
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1343663313096
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1343663330708
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1343663334624
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1343663343937
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1343663358148
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1343663368444
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1343663371112
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1343663372703
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343663376931
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343663380472
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343663381065
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343663394169
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1343663405495
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1343663409473
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343663415213
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343663424464
